king_wen,binary_l1_to_l6,line,edge,modality,valence,commit_direction,terminal_sign,earlier_sign,later_sign
38,110101,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
38,110101,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
38,110101,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
38,110101,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
39,001010,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
39,001010,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
39,001010,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
39,001010,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
39,001010,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
39,001010,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
40,010100,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
40,010100,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
40,010100,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
40,010100,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
40,010100,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
40,010100,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
41,110001,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
41,110001,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
41,110001,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
41,110001,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
41,110001,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
41,110001,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
42,100011,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
42,100011,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
42,100011,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
42,100011,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
42,100011,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
42,100011,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
43,111110,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
43,111110,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
43,111110,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
43,111110,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
43,111110,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
43,111110,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
44,011111,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
44,011111,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
44,011111,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
44,011111,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
44,011111,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
44,011111,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
45,000110,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
45,000110,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
45,000110,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
45,000110,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
45,000110,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
45,000110,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
46,011000,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
46,011000,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
46,011000,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
46,011000,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
46,011000,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
46,011000,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
47,010110,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
47,010110,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
47,010110,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
47,010110,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
47,010110,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
47,010110,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
48,011010,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
48,011010,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
48,011010,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
48,011010,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
48,011010,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
48,011010,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
49,101110,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
49,101110,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
49,101110,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
49,101110,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
49,101110,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
49,101110,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
50,011101,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
50,011101,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
50,011101,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
50,011101,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
50,011101,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
50,011101,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
51,100100,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
